DATE,Home
10/14/2014,5.3
11/1/2014,5.7
12/1/2014,5.2
1/1/2015,4.8
2/1/2015,4.4
3/1/2015,5.1
4/1/2015,4.9
5/1/2015,5
6/1/2015,5.5
7/1/2015,5.2
8/1/2015,5.1
9/1/2015,5.9
10/1/2015,5.7
11/1/2015,5.5
12/1/2015,5.2
1/1/2016,5.5
2/1/2016,5.4
3/1/2016,5.4
4/1/2016,5.1
5/1/2016,5.2
6/1/2016,5.2
7/1/2016,4.5
8/1/2016,5
9/1/2016,5.2
10/1/2016,5.2
11/1/2016,5.3
12/1/2016,5.6
1/1/2017,5.3
2/1/2017,5.1
3/1/2017,5
4/1/2017,5.4
5/1/2017,5.4
6/1/2017,5.3
7/1/2017,6
8/1/2017,6
9/1/2017,5.3
10/1/2017,5.6
11/1/2017,4.9
12/1/2017,5.5
1/1/2018,5.6
2/1/2018,5.4
3/1/2018,5.3
4/1/2018,5.7
5/1/2018,5.5
6/1/2018,6
7/1/2018,6.2
8/1/2018,6.4
9/1/2018,6.5
10/1/2018,7.4
11/1/2018,7.5
12/1/2018,7.7
